Residential,,
Year,State,Price
2005,AK,13.30
2005,AL,8.00
2005,AR,8.00
2005,AZ,8.86
2005,CA,12.51
2005,CO,9.06
2005,CT,13.64
2005,DC,9.10
2005,DE,9.01
2005,FL,9.62
2005,GA,8.64
2005,HI,20.70
2005,IA,9.27
2005,ID,6.29
2005,IL,8.34
2005,IN,7.50
2005,KS,7.90
2005,KY,6.57
2005,LA,8.87
2005,MA,13.44
2005,MD,8.46
2005,ME,13.23
2005,MI,8.40
2005,MN,8.28
2005,MO,7.08
2005,MS,8.71
2005,MT,8.10
2005,NC,8.65
2005,ND,6.99
2005,NE,7.14
2005,NH,13.51
2005,NJ,11.74
2005,NM,9.13
2005,NV,10.20
2005,NY,15.72
2005,OH,8.51
2005,OK,7.95
2005,OR,7.25
2005,PA,9.86
2005,RI,13.04
2005,SC,8.67
2005,SD,7.77
2005,TN,6.98
2005,TX,10.93
2005,UT,7.52
2005,VA,8.16
2005,VT,12.96
2005,WA,6.54
2005,WI,9.66
2005,WV,6.21
2005,WY,7.48
2005,US,9.45
2006,AK,14.83
2006,AL,8.75
2006,AR,8.85
2006,AZ,9.40
2006,CA,14.33
2006,CO,9.02
2006,CT,16.86
2006,DC,9.88
2006,DE,11.85
2006,FL,11.33
2006,GA,8.91
2006,HI,23.35
2006,IA,9.63
2006,ID,6.21
2006,IL,8.42
2006,IN,8.22
2006,KS,8.25
2006,KY,7.02
2006,LA,9.14
2006,MA,16.60
2006,MD,9.71
2006,ME,13.80
2006,MI,9.77
2006,MN,8.70
2006,MO,7.44
2006,MS,9.66
2006,MT,8.28
2006,NC,9.12
2006,ND,7.14
2006,NE,7.41
2006,NH,14.68
2006,NJ,12.84
2006,NM,9.06
2006,NV,11.08
2006,NY,16.89
2006,OH,9.34
2006,OK,8.55
2006,OR,7.48
2006,PA,10.35
2006,RI,15.12
2006,SC,9.03
2006,SD,7.83
2006,TN,7.75
2006,TX,12.86
2006,UT,7.59
2006,VA,8.49
2006,VT,13.39
2006,WA,6.82
2006,WI,10.51
2006,WV,6.35
2006,WY,7.75
2006,US,10.40
2007,AK,15.18
2007,AL,9.32
2007,AR,8.73
2007,AZ,9.66
2007,CA,14.42
2007,CO,9.25
2007,CT,19.11
2007,DC,11.18
2007,DE,13.16
2007,FL,11.22
2007,GA,9.10
2007,HI,24.12
2007,IA,9.45
2007,ID,6.36
2007,IL,10.12
2007,IN,8.26
2007,KS,8.19
2007,KY,7.34
2007,LA,9.37
2007,MA,16.23
2007,MD,11.89
2007,ME,16.52
2007,MI,10.21
2007,MN,9.18
2007,MO,7.69
2007,MS,9.36
2007,MT,8.77
2007,NC,9.40
2007,ND,7.30
2007,NE,7.59
2007,NH,14.88
2007,NJ,14.14
2007,NM,9.12
2007,NV,11.82
2007,NY,17.10
2007,OH,9.57
2007,OK,8.58
2007,OR,8.19
2007,PA,10.95
2007,RI,14.05
2007,SC,9.19
2007,SD,8.07
2007,TN,7.84
2007,TX,12.34
2007,UT,8.15
2007,VA,8.74
2007,VT,14.15
2007,WA,7.26
2007,WI,10.87
2007,WV,6.73
2007,WY,7.75
2007,US,10.65
2008,AK,16.56
2008,AL,10.40
2008,AR,9.27
2008,AZ,10.27
2008,CA,13.81
2008,CO,10.13
2008,CT,19.54
2008,DC,12.78
2008,DE,13.93
2008,FL,11.65
2008,GA,9.93
2008,HI,32.50
2008,IA,9.49
2008,ID,6.99
2008,IL,11.07
2008,IN,8.87
2008,KS,8.89
2008,KY,7.94
2008,LA,10.28
2008,MA,17.56
2008,MD,13.84
2008,ME,16.24
2008,MI,10.75
2008,MN,9.74
2008,MO,8.00
2008,MS,10.39
2008,MT,9.13
2008,NC,9.52
2008,ND,7.51
2008,NE,7.87
2008,NH,15.68
2008,NJ,15.66
2008,NM,10.01
2008,NV,11.93
2008,NY,18.31
2008,OH,10.06
2008,OK,9.09
2008,OR,8.49
2008,PA,11.35
2008,RI,17.45
2008,SC,9.89
2008,SD,8.27
2008,TN,8.91
2008,TX,13.03
2008,UT,8.25
2008,VA,9.62
2008,VT,14.48
2008,WA,7.54
2008,WI,11.51
2008,WV,7.06
2008,WY,8.21
2008,US,11.26
2009,AK,17.14
2009,AL,10.66
2009,AR,9.14
2009,AZ,10.73
2009,CA,14.74
2009,CO,10.00
2009,CT,20.33
2009,DC,13.73
2009,DE,14.07
2009,FL,12.39
2009,GA,10.13
2009,HI,24.20
2009,IA,9.99
2009,ID,7.80
2009,IL,11.27
2009,IN,9.50
2009,KS,9.53
2009,KY,8.37
2009,LA,8.10
2009,MA,16.87
2009,MD,14.98
2009,ME,15.64
2009,MI,11.60
2009,MN,10.04
2009,MO,8.54
2009,MS,10.22
2009,MT,8.94
2009,NC,9.99
2009,ND,7.58
2009,NE,8.52
2009,NH,16.39
2009,NJ,16.31
2009,NM,10.02
2009,NV,12.86
2009,NY,17.50
2009,OH,10.67
2009,OK,8.49
2009,OR,8.68
2009,PA,11.65
2009,RI,15.60
2009,SC,10.44
2009,SD,8.49
2009,TN,9.32
2009,TX,12.38
2009,UT,8.48
2009,VA,10.61
2009,VT,14.90
2009,WA,7.67
2009,WI,11.94
2009,WV,7.90
2009,WY,8.58
2009,US,11.51
2010,AK,16.26
2010,AL,10.67
2010,AR,8.86
2010,AZ,10.97
2010,CA,14.75
2010,CO,11.04
2010,CT,19.25
2010,DC,14.01
2010,DE,13.80
2010,FL,11.44
2010,GA,10.07
2010,HI,28.10
2010,IA,10.42
2010,ID,7.99
2010,IL,11.52
2010,IN,9.56
2010,KS,10.03
2010,KY,8.57
2010,LA,8.98
2010,MA,14.59
2010,MD,14.32
2010,ME,15.72
2010,MI,12.46
2010,MN,10.59
2010,MO,9.08
2010,MS,9.87
2010,MT,9.16
2010,NC,10.12
2010,ND,8.13
2010,NE,8.94
2010,NH,16.32
2010,NJ,16.57
2010,NM,10.52
2010,NV,12.36
2010,NY,18.74
2010,OH,11.31
2010,OK,9.14
2010,OR,8.87
2010,PA,12.70
2010,RI,15.92
2010,SC,10.50
2010,SD,8.97
2010,TN,9.23
2010,TX,11.60
2010,UT,8.71
2010,VA,10.45
2010,VT,15.57
2010,WA,8.04
2010,WI,12.65
2010,WV,8.79
2010,WY,8.77
2010,US,11.54
2011,AK,17.62
2011,AL,11.09
2011,AR,9.02
2011,AZ,11.08
2011,CA,14.78
2011,CO,11.27
2011,CT,18.11
2011,DC,13.40
2011,DE,13.70
2011,FL,11.51
2011,GA,11.05
2011,HI,34.68
2011,IA,10.46
2011,ID,7.87
2011,IL,11.78
2011,IN,10.06
2011,KS,10.65
2011,KY,9.20
2011,LA,8.96
2011,MA,14.67
2011,MD,13.31
2011,ME,15.38
2011,MI,13.27
2011,MN,10.96
2011,MO,9.75
2011,MS,10.17
2011,MT,9.75
2011,NC,10.26
2011,ND,8.58
2011,NE,9.32
2011,NH,16.52
2011,NJ,16.23
2011,NM,11.00
2011,NV,11.61
2011,NY,18.26
2011,OH,11.42
2011,OK,9.47
2011,OR,9.54
2011,PA,13.26
2011,RI,14.33
2011,SC,11.05
2011,SD,9.35
2011,TN,9.98
2011,TX,11.08
2011,UT,8.96
2011,VA,10.64
2011,VT,16.26
2011,WA,8.28
2011,WI,13.02
2011,WV,9.39
2011,WY,9.11
2011,US,11.72
2012,AK,17.88
2012,AL,11.40
2012,AR,9.30
2012,AZ,11.29
2012,CA,15.34
2012,CO,11.46
2012,CT,17.34
2012,DC,12.28
2012,DE,13.58
2012,FL,11.42
2012,GA,11.17
2012,HI,37.34
2012,IA,10.82
2012,ID,8.67
2012,IL,11.37
2012,IN,10.53
2012,KS,11.24
2012,KY,9.43
2012,LA,8.37
2012,MA,14.91
2012,MD,12.84
2012,ME,14.66
2012,MI,14.13
2012,MN,11.35
2012,MO,10.17
2012,MS,10.26
2012,MT,10.08
2012,NC,10.91
2012,ND,9.06
2012,NE,10.04
2012,NH,16.07
2012,NJ,15.78
2012,NM,11.37
2012,NV,11.83
2012,NY,17.62
2012,OH,11.76
2012,OK,9.51
2012,OR,9.80
2012,PA,12.75
2012,RI,14.40
2012,SC,11.77
2012,SD,10.07
2012,TN,10.10
2012,TX,10.98
2012,UT,9.93
2012,VA,11.08
2012,VT,17.01
2012,WA,8.53
2012,WI,13.19
2012,WV,9.85
2012,WY,9.85
2012,US,11.88
2013,AK,18.12
2013,AL,11.26
2013,AR,9.59
2013,AZ,11.71
2013,CA,16.23
2013,CO,11.93
2013,CT,17.55
2013,DC,12.57
2013,DE,12.95
2013,FL,11.27
2013,GA,11.46
2013,HI,36.98
2013,IA,11.04
2013,ID,9.32
2013,IL,10.63
2013,IN,10.99
2013,KS,11.64
2013,KY,9.79
2013,LA,9.43
2013,MA,15.83
2013,MD,13.25
2013,ME,14.35
2013,MI,14.59
2013,MN,11.81
2013,MO,10.60
2013,MS,10.78
2013,MT,10.33
2013,NC,10.97
2013,ND,9.12
2013,NE,10.31
2013,NH,16.33
2013,NJ,15.73
2013,NM,11.68
2013,NV,11.89
2013,NY,18.79
2013,OH,12.01
2013,OK,9.67
2013,OR,9.90
2013,PA,12.79
2013,RI,15.20
2013,SC,11.99
2013,SD,10.26
2013,TN,9.98
2013,TX,11.35
2013,UT,10.37
2013,VA,10.84
2013,VT,17.14
2013,WA,8.70
2013,WI,13.55
2013,WV,9.52
2013,WY,10.16
2013,US,12.13
2014,AK,19.14
2014,AL,11.48
2014,AR,9.51
2014,AZ,11.90
2014,CA,16.25
2014,CO,12.18
2014,CT,19.75
2014,DC,12.74
2014,DE,13.29
2014,FL,11.89
2014,GA,11.65
2014,HI,37.04
2014,IA,11.16
2014,ID,9.72
2014,IL,11.91
2014,IN,11.46
2014,KS,12.17
2014,KY,10.16
2014,LA,9.57
2014,MA,17.39
2014,MD,13.63
2014,ME,15.27
2014,MI,14.46
2014,MN,12.01
2014,MO,10.64
2014,MS,11.32
2014,MT,10.18
2014,NC,11.10
2014,ND,9.15
2014,NE,10.40
2014,NH,17.53
2014,NJ,15.78
2014,NM,12.28
2014,NV,12.93
2014,NY,20.07
2014,OH,12.50
2014,OK,10.03
2014,OR,10.47
2014,PA,13.32
2014,RI,17.17
2014,SC,12.45
2014,SD,10.47
2014,TN,10.32
2014,TX,11.86
2014,UT,10.65
2014,VA,11.10
2014,VT,17.47
2014,WA,8.67
2014,WI,13.67
2014,WV,9.34
2014,WY,10.50
2014,US,12.52
2015,AK,20.13
2015,AL,11.77
2015,AR,9.84
2015,AZ,12.18
2015,CA,17.02
2015,CO,11.98
2015,CT,20.90
2015,DC,12.97
2015,DE,13.46
2015,FL,11.75
2015,GA,11.48
2015,HI,29.61
2015,IA,11.87
2015,ID,9.98
2015,IL,12.49
2015,IN,11.18
2015,KS,12.31
2015,KY,10.08
2015,LA,9.22
2015,MA,19.81
2015,MD,13.91
2015,ME,15.67
2015,MI,14.45
2015,MN,12.30
2015,MO,10.99
2015,MS,11.30
2015,MT,10.96
2015,NC,11.32
2015,ND,9.75
2015,NE,10.79
2015,NH,18.52
2015,NJ,15.97
2015,NM,12.55
2015,NV,12.77
2015,NY,18.57
2015,OH,12.66
2015,OK,10.02
2015,OR,10.66
2015,PA,13.84
2015,RI,19.29
2015,SC,12.42
2015,SD,10.94
2015,TN,10.27
2015,TX,11.64
2015,UT,10.98
2015,VA,11.36
2015,VT,17.07
2015,WA,9.00
2015,WI,14.38
2015,WV,10.08
2015,WY,10.97
2015,US,12.67
